Domain,Category,Product URL
amazon.in,smart phones,https://www.amazon.in/Redmi-Storage-Segment-Largest-Charging/dp/B0DLW1L5PR/ref=sr_1_16?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBID9guKJOE5XLTZHyz07mSTiXZr4GZ1ninlNnFhMzMrotlP9jclJyj3wFmq4slJnrjHIrPXcMDkNMCmwo-mSNUSV7HpZMNjrcA19-QaeIvF_zgXzvf2P0HXuDAtEjBgKfmxUjHrgZjcvdGzT8FgMewuzhIVH2354HnDefRS5qB-zoO_dqRpWMM0Hha7eS03QqwwKAvJj752dEY6ZFIdX5KOA8.a1dFLfaQ0vkysJx4QYf9WHnyQXvm2QTbBHDnGFKrtZg&dib_tag=se&keywords=smart+phones&qid=1738587852&sr=8-16
amazon.in,smart phones,https://www.amazon.in/Redmi-A3X-Midnight-Black-RAM/dp/B0DN1XC123/ref=sr_1_19?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBID9guKJOE5XLTZHyz07mSTiXZr4GZ1ninlNnFhMzMrotlP9jclJyj3wFmq4slJnrjHIrPXcMDkNMCmwo-mSNUSV7HpZMNjrcA19-QaeIvF_zgXzvf2P0HXuDAtEjBgKfmxUjHrgZjcvdGzT8FgMewuzhIVH2354HnDefRS5qB-zoO_dqRpWMM0Hha7eS03QqwwKAvJj752dEY6ZFIdX5KOA8.a1dFLfaQ0vkysJx4QYf9WHnyQXvm2QTbBHDnGFKrtZg&dib_tag=se&keywords=smart+phones&qid=1738587852&sr=8-19#customerReviews
amazon.in,smart phones,https://www.amazon.in/Redmi-Starlight-Storage-MediaTek-Dimensity/dp/B0CNX89QR8/ref=sr_1_17?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBID9guKJOE5XLTZHyz07mSTiXZr4GZ1ninlNnFhMzMrotlP9jclJyj3wFmq4slJnrjHIrPXcMDkNMCmwo-mSNUSV7HpZMNjrcA19-QaeIvF_zgXzvf2P0HXuDAtEjBgKfmxUjHrgZjcvdGzT8FgMewuzhIVH2354HnDefRS5qB-zoO_dqRpWMM0Hha7eS03QqwwKAvJj752dEY6ZFIdX5KOA8.a1dFLfaQ0vkysJx4QYf9WHnyQXvm2QTbBHDnGFKrtZg&dib_tag=se&keywords=smart+phones&qid=1738587852&sr=8-17#customerReviews
amazon.in,smart phones,https://www.amazon.in/Samsung-Galaxy-Storage-MediaTek-Battery/dp/B0CJ2DFBYK/ref=sr_1_9?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBID9guKJOE5XLTZHyz07mSTiXZr4GZ1ninlNnFhMzMrotlP9jclJyj3wFmq4slJnrjHIrPXcMDkNMCmwo-mSNUSV7HpZMNjrcA19-QaeIvF_zgXzvf2P0HXuDAtEjBgKfmxUjHrgZjcvdGzT8FgMewuzhIVH2354HnDefRS5qB-zoO_dqRpWMM0Hha7eS03QqwwKAvJj752dEY6ZFIdX5KOA8.a1dFLfaQ0vkysJx4QYf9WHnyQXvm2QTbBHDnGFKrtZg&dib_tag=se&keywords=smart+phones&qid=1738587852&sr=8-9
amazon.in,smart phones,https://www.amazon.in/OnePlus-Nord-Chromatic-128GB-Storage/dp/B0BY8JZ22K/ref=cs_sr_dp_2?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBID9guKJOE5XLTZHyz07mSTiXZr4GZ1ninlNnFhMzMrotlP9jclJyj3wFmq4slJnrjHIrPXcMDkNMCmwo-mSNUSV7HpZMNjrcA19-QaeIvF_zgXzvf2P0HXuDAtEjBgKfmxUjHrgZjcvdGzT8FgMewuzhIVH2354HnDefRS5qB-zoO_dqRpWMM0Hha7eS03QqwwKAvJj752dEY6ZFIdX5KOA8.a1dFLfaQ0vkysJx4QYf9WHnyQXvm2QTbBHDnGFKrtZg&dib_tag=se&keywords=smart+phones&qid=1738587852&sr=8-14
amazon.in,smart phones,https://www.amazon.in/Samsung-Storage-Display-Charging-Security/dp/B0DFY3XCB6/ref=sr_1_3?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBID9guKJOE5XLTZHyz07mSTiXZr4GZ1ninlNnFhMzMrotlP9jclJyj3wFmq4slJnrjHIrPXcMDkNMCmwo-mSNUSV7HpZMNjrcA19-QaeIvF_zgXzvf2P0HXuDAtEjBgKfmxUjHrgZjcvdGzT8FgMewuzhIVH2354HnDefRS5qB-zoO_dqRpWMM0Hha7eS03QqwwKAvJj752dEY6ZFIdX5KOA8.a1dFLfaQ0vkysJx4QYf9WHnyQXvm2QTbBHDnGFKrtZg&dib_tag=se&keywords=smart+phones&qid=1738587852&sr=8-3#customerReviews
amazon.in,smart phones,https://www.amazon.in/realme-Storage-Comfort-Resistance-48-Month/dp/B0D945V84N/ref=sr_1_6?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBID9guKJOE5XLTZHyz07mSTiXZr4GZ1ninlNnFhMzMrotlP9jclJyj3wFmq4slJnrjHIrPXcMDkNMCmwo-mSNUSV7HpZMNjrcA19-QaeIvF_zgXzvf2P0HXuDAtEjBgKfmxUjHrgZjcvdGzT8FgMewuzhIVH2354HnDefRS5qB-zoO_dqRpWMM0Hha7eS03QqwwKAvJj752dEY6ZFIdX5KOA8.a1dFLfaQ0vkysJx4QYf9WHnyQXvm2QTbBHDnGFKrtZg&dib_tag=se&keywords=smart+phones&qid=1738587852&sr=8-6#customerReviews
amazon.in,smart phones,https://www.amazon.in/Redmi-Storage-Segment-Largest-Charging/dp/B0DLW1L5PR/ref=sr_1_16?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBID9guKJOE5XLTZHyz07mSTiXZr4GZ1ninlNnFhMzMrotlP9jclJyj3wFmq4slJnrjHIrPXcMDkNMCmwo-mSNUSV7HpZMNjrcA19-QaeIvF_zgXzvf2P0HXuDAtEjBgKfmxUjHrgZjcvdGzT8FgMewuzhIVH2354HnDefRS5qB-zoO_dqRpWMM0Hha7eS03QqwwKAvJj752dEY6ZFIdX5KOA8.a1dFLfaQ0vkysJx4QYf9WHnyQXvm2QTbBHDnGFKrtZg&dib_tag=se&keywords=smart+phones&qid=1738587852&sr=8-16#customerReviews
amazon.in,smart phones,https://www.amazon.in/Redmi-Starlight-Storage-MediaTek-Dimensity/dp/B0CNX6WVG5/ref=cs_sr_dp_2?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBID9guKJOE5XLTZHyz07mSTiXZr4GZ1ninlNnFhMzMrotlP9jclJyj3wFmq4slJnrjHIrPXcMDkNMCmwo-mSNUSV7HpZMNjrcA19-QaeIvF_zgXzvf2P0HXuDAtEjBgKfmxUjHrgZjcvdGzT8FgMewuzhIVH2354HnDefRS5qB-zoO_dqRpWMM0Hha7eS03QqwwKAvJj752dEY6ZFIdX5KOA8.a1dFLfaQ0vkysJx4QYf9WHnyQXvm2QTbBHDnGFKrtZg&dib_tag=se&keywords=smart+phones&qid=1738587852&sr=8-17
amazon.in,smart phones,https://www.amazon.in/OnePlus-Ultra-Orange-128GB-Storage/dp/B0D5YCYS1G/ref=cs_sr_dp_3?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBID9guKJOE5XLTZHyz07mSTiXZr4GZ1ninlNnFhMzMrotlP9jclJyj3wFmq4slJnrjHIrPXcMDkNMCmwo-mSNUSV7HpZMNjrcA19-QaeIvF_zgXzvf2P0HXuDAtEjBgKfmxUjHrgZjcvdGzT8FgMewuzhIVH2354HnDefRS5qB-zoO_dqRpWMM0Hha7eS03QqwwKAvJj752dEY6ZFIdX5KOA8.a1dFLfaQ0vkysJx4QYf9WHnyQXvm2QTbBHDnGFKrtZg&dib_tag=se&keywords=smart+phones&qid=1738587852&sr=8-18
